Date,Instrument ID,Amount,Type,Balance,Remarks
31/10/2024,,388.25,DR,984.0,UPI/hn1yt9h3oft1@okaxis/P2M/m0tlxvdx@paytm/AxisBank
31/10/2024,,653.44,DR,330.56,UPI/ynvrhulpeiob@paytm/P2M/bq4gywuj@ptbyl/BigBazaar
31/10/2024,143249,193.21,CR,523.77,UPI/i3yq9j53xkgr@paytm
30/10/2024,941411,495.04,DR,28.73,UPI/rhwmlohvjolg@oksbi/P2M/b5e0ongt@oksbi/VENNA
30/10/2024,,2908.48,CR,2937.21,UPI/cdfmk3m79axx@okaxis
30/10/2024,536029,316.04,DR,2621.17,UPI/wklb2gqitbdz@ybl/P2M/fxd1a4fb@oksbi/Edara
30/10/2024,,903.79,CR,3524.96,UPI/0mjlypisvfka@okhdfc
30/10/2024,,1394.81,DR,2130.15,UPI/17q9yx7pi87x@oksbi/P2M/wqws1a6g@ptbyl/Flipkart
30/10/2024,906575,1424.82,DR,705.33,UPI/szn7k6eew8qn@okhdfc/P2M/nzv05ylx@oksbi/Chala
30/10/2024,,635.24,DR,70.09,UPI/itvraaxw3ypj@ybl/P2M/0f166one@paytm/VENNA
29/10/2024,435452,13.87,DR,56.22,UPI/3pb6a250krd2@oksbi/P2M/k5tem85k@ptbsi/Edara
29/10/2024,,1944.95,CR,2001.17,UPI/qo8jjdpuo68q@okhdfc
29/10/2024,975003,603.38,DR,1397.79,UPI/ipka1flv0xq3@axl/P2M/r34ixstq@paytm/Chala
29/10/2024,226665,123.38,DR,1274.41,UPI/rq7gxzjwjm0c@ybl/P2M/ri8x5b16@ptbyl/AxisBank
29/10/2024,,579.69,DR,694.72,UPI/9n8nax4q4lky@okhdfc/P2M/8hqs3fhg@oksbi/Edara
28/10/2024,,4370.98,CR,5065.7,UPI/ora73sg8r5mn@oksbi
28/10/2024,,670.1,DR,4395.6,UPI/yfzveeoxcv05@ybl/P2M/whj3hj00@ptbsi/Amazon
28/10/2024,,1381.96,DR,3013.64,UPI/kbjk7mfyqnfg@okaxis/P2M/hritkn0a@ptbsi/VENNA
28/10/2024,,260.84,DR,2752.8,UPI/y9pvmzbaowye@okhdfc/P2M/uopx7viz@paytm/Airtel
28/10/2024,,767.3,DR,1985.5,UPI/my3mi9sdhsoo@oksbi/P2M/bbnglkya@ptbyl/Airtel
28/10/2024,,225.18,DR,1760.32,UPI/ay3tysrkwx69@paytm/P2M/rnma7q5c@oksbi/Paytm
28/10/2024,802373,688.43,DR,1071.89,UPI/tqmdn89uc016@axl/P2M/j91x6mp3@ptbyl/Edara
28/10/2024,126058,320.1,DR,751.79,UPI/qm8026azqgpe@paytm/P2M/fo0zkvsi@ptbsi/Chala
28/10/2024,,153.16,DR,598.63,UPI/8dtb7of513iu@okaxis/P2M/qjm45odp@oksbi/BigBazaar
