Date,Instrument ID,Amount,Type,Balance,Remarks
31/08/2024,156382,535.73,DR,294.26,UPI/a0dw9fn4lx1k@ybl/P2M/8h9f7ao5@ptbyl/Chala
31/08/2024,,275.79,DR,18.47,UPI/tg5oywa59v50@ybl/P2M/58v2o5gz@ptbsi/Paytm
31/08/2024,,528.44,CR,546.91,UPI/aarppv7aejnw@ybl
31/08/2024,902731,3798.13,CR,4345.04,UPI/6nmauie6rbwc@oksbi
31/08/2024,380337,794.19,DR,3550.85,UPI/ff9k3jnnjee1@oksbi/P2M/ckmlu9us@ptbsi/BigBazaar
31/08/2024,,1470.91,DR,2079.94,UPI/qwjxilywnxcc@okaxis/P2M/gg8q2vcv@paytm/Airtel
31/08/2024,,713.61,DR,1366.33,UPI/lclw0xp7j1gn@oksbi/P2M/2qvlbou7@paytm/Amazon
31/08/2024,,1279.29,DR,87.04,UPI/13j4hcogurre@axl/P2M/bibi4c1w@oksbi/Chala
30/08/2024,,4492.84,CR,4579.88,UPI/7v2t5rxg4t9n@axl
30/08/2024,,1005.33,DR,3574.55,UPI/zdxhkq8s7yk4@ybl/P2M/7cd45p7p@ptbyl/VENNA
30/08/2024,,685.41,DR,2889.14,UPI/can5wz9f1tzf@oksbi/P2M/sjw8uosh@ptbsi/Flipkart
30/08/2024,,1288.79,DR,1600.35,UPI/gltg97pvonh5@okaxis/P2M/q3nfwp22@oksbi/Chala
30/08/2024,468772,503.42,DR,1096.93,UPI/7z1p2vyxqzgo@okaxis/P2M/x6wplo9v@paytm/Chala
30/08/2024,217788,85.32,DR,1011.61,UPI/lfqlkhdczish@axl/P2M/zkk1y7h6@paytm/Chala
30/08/2024,,621.88,DR,389.73,UPI/iwoh4uc7obab@ybl/P2M/b3p46p14@oksbi/Chala
29/08/2024,770089,1580.47,CR,1970.2,UPI/i1pa5yzc8hwu@okhdfc
29/08/2024,,336.28,DR,1633.92,UPI/gprov6jhg51u@okaxis/P2M/df8lmmtf@paytm/Chala
29/08/2024,590753,1195.11,DR,438.81,UPI/p16drhffk0go@okhdfc/P2M/6ppmgyc3@oksbi/AxisBank
29/08/2024,760022,101.87,DR,336.94,UPI/38op5rac8spa@axl/P2M/6e62vqz7@oksbi/Paytm
29/08/2024,,2787.78,CR,3124.72,UPI/9hlrrcr4x16g@ybl
