Date,Instrument ID,Amount,Type,Balance,Remarks
30/04/2024,,276.16,DR,528.96,UPI/7uquikahqg8l@oksbi/P2M/03z4c7sj@oksbi/Amazon
30/04/2024,,52.55,DR,476.41,UPI/jzj379ztc9ul@paytm/P2M/rto5la7c@ptbsi/Airtel
30/04/2024,,91.14,DR,385.27,UPI/evi94qqqpt8o@okaxis/P2M/6rt1dvt5@paytm/Edara
30/04/2024,,44.9,DR,340.37,UPI/r7nmy6413pzc@ybl/P2M/qssw36xj@ptbsi/Airtel
30/04/2024,661439,40.31,DR,300.06,UPI/grvylhbond0m@paytm/P2M/aqyv2373@paytm/AxisBank
29/04/2024,,147.75,DR,152.31,UPI/c9dril84rf41@paytm/P2M/fd9qi1o0@paytm/Chala
29/04/2024,,126.63,DR,25.68,UPI/qq1y6qadydoj@okhdfc/P2M/tzscsyac@paytm/Paytm
29/04/2024,,1116.99,CR,1142.67,UPI/i2d74x1nno4e@okhdfc
29/04/2024,,4140.21,CR,5282.88,UPI/714yup64xin2@oksbi
29/04/2024,281102,660.14,DR,4622.74,UPI/7mxcp9lnazka@paytm/P2M/3e03whyq@ptbsi/VENNA
29/04/2024,,951.44,DR,3671.3,UPI/ns9kbdmc5y4n@ybl/P2M/8b2ibs7u@paytm/Edara
29/04/2024,563314,602.29,DR,3069.01,UPI/lnj8qxxuml4q@ybl/P2M/1g0hj1e0@ptbsi/VENNA
29/04/2024,279930,323.51,DR,2745.5,UPI/heg18h8aeuqm@ybl/P2M/nakijoi9@ptbsi/Paytm
28/04/2024,,4964.89,CR,7710.39,UPI/pyfxulih2qdt@okaxis
28/04/2024,,1255.42,DR,6454.97,UPI/re444i5a8wlr@paytm/P2M/m7tj9yoy@paytm/Chala
28/04/2024,,670.66,DR,5784.31,UPI/78t08r2de0pq@ybl/P2M/6uvv5mb1@ptbsi/Flipkart
28/04/2024,,964.13,DR,4820.18,UPI/zk993kp0gp0f@ybl/P2M/91lpu2pg@ptbsi/Flipkart
28/04/2024,,1252.29,DR,3567.89,UPI/u3glinr5cwtp@oksbi/P2M/mfyobqku@ptbyl/Airtel
28/04/2024,830083,1222.64,DR,2345.25,UPI/iv7l198vsv9z@oksbi/P2M/xcihwjbk@ptbyl/Flipkart
28/04/2024,996965,44.44,DR,2300.81,UPI/5i9k21zuykop@oksbi/P2M/ltdy13xz@ptbsi/VENNA
28/04/2024,299763,1395.82,DR,904.99,UPI/ijqphu5t9sry@okhdfc/P2M/ekiq3btn@oksbi/Airtel
28/04/2024,,796.69,DR,108.3,UPI/xfu2z4iful5r@oksbi/P2M/3bt74ohf@ptbyl/Airtel
28/04/2024,,79.72,DR,28.58,UPI/bvo6y4j9r5h5@okhdfc/P2M/djfzqus3@ptbyl/Airtel
