Date,Instrument ID,Amount,Type,Balance,Remarks
29/02/2024,,3564.86,CR,4666.79,UPI/96qgcexn9cj6@ybl
29/02/2024,944979,496.07,DR,4170.72,UPI/c4r5zhchzh15@axl/P2M/8f7r70xn@ptbsi/Airtel
29/02/2024,,954.18,DR,3216.54,UPI/i8kd7pp2y900@okhdfc/P2M/q926u0k9@ptbyl/Amazon
29/02/2024,,1366.38,DR,1850.16,UPI/miwqjxcvssoc@okhdfc/P2M/m7trgxl4@ptbsi/Paytm
29/02/2024,901463,541.63,DR,1308.53,UPI/amejrd881tsj@okhdfc/P2M/9pvmc2uf@ptbyl/Paytm
29/02/2024,,1031.57,DR,276.96,UPI/sktdm27x6pzn@ybl/P2M/jrxfe7rx@paytm/AxisBank
29/02/2024,,96.7,DR,180.26,UPI/4bf1uvbkp8kh@okhdfc/P2M/6iw7j9j9@ptbsi/Airtel
29/02/2024,463562,1916.78,CR,2097.04,UPI/h51zbq8n0ktg@paytm
29/02/2024,,466.43,DR,1630.61,UPI/in7nulsizk9p@oksbi/P2M/z77g80kh@ptbsi/Amazon
29/02/2024,,3125.86,CR,4756.47,UPI/h6cse8ogj7j4@okhdfc
29/02/2024,,1132.95,DR,3623.52,UPI/bjjht1n6cl8g@okaxis/P2M/5tm31i6d@ptbyl/Amazon
28/02/2024,,986.26,DR,2637.26,UPI/gymjhoy9h7v1@ybl/P2M/ial9krw4@ptbyl/Airtel
28/02/2024,,71.66,DR,2565.6,UPI/jenlm3j76b63@okaxis/P2M/2hegtyc3@ptbyl/VENNA
28/02/2024,,1434.49,CR,4000.09,UPI/b388ft7ndj5b@okhdfc
28/02/2024,863469,467.34,DR,3532.75,UPI/wpv549lu6tch@axl/P2M/805gvn05@oksbi/AxisBank
28/02/2024,,207.37,DR,3325.38,UPI/71177m7727ty@paytm/P2M/lc5bv7ld@ptbsi/Edara
28/02/2024,,1266.07,DR,2059.31,UPI/lryc928w94mb@oksbi/P2M/ookdazin@ptbsi/Airtel
28/02/2024,380852,910.48,DR,1148.83,UPI/jzbeoy3juyht@oksbi/P2M/gj92cvg8@ptbyl/Paytm
28/02/2024,,820.99,DR,327.84,UPI/un2zchtllme5@oksbi/P2M/putdlf9m@paytm/Paytm
28/02/2024,683073,4041.79,CR,4369.63,UPI/v6pdx3kqxag5@ybl
27/02/2024,686137,514.77,DR,3854.86,UPI/fkef9qp5vdxw@axl/P2M/k9wyo1jb@ptbyl/BigBazaar
27/02/2024,193046,3727.73,CR,7582.59,UPI/hsg1xey3hgic@okaxis
27/02/2024,,845.45,DR,6737.14,UPI/ll8z8tce94s8@axl/P2M/m55d44t4@paytm/Paytm
