Date,Instrument ID,Amount,Type,Balance,Remarks
31/05/2023,,1070.08,DR,375.04,UPI/xea68kt1f5me@okhdfc/P2M/63gjalcv@ptbsi/Chala
31/05/2023,420313,70.63,DR,304.41,UPI/ubfgqyvwcdn8@ybl/P2M/qeev1gb9@ptbyl/Airtel
31/05/2023,879251,3273.63,CR,3578.04,UPI/523nsttyb1cq@okaxis
31/05/2023,,1320.89,DR,2257.15,UPI/13p8grct9z3p@axl/P2M/0y9df5a9@oksbi/Amazon
31/05/2023,976889,1311.19,DR,945.96,UPI/5c66ycic1q3f@ybl/P2M/b6ds0dg8@oksbi/BigBazaar
31/05/2023,,499.69,DR,446.27,UPI/vave93jub785@ybl/P2M/3ih37ocb@ptbyl/BigBazaar
30/05/2023,,3776.1,CR,4222.37,UPI/78muawzub0n3@ybl
30/05/2023,,83.45,DR,4138.92,UPI/fjwewfzt5vpr@axl/P2M/wdwgpo4x@ptbsi/BigBazaar
30/05/2023,596040,1045.68,DR,3093.24,UPI/0fwjwpl27zxo@axl/P2M/0dyifnia@ptbyl/Chala
30/05/2023,109768,1481.28,DR,1611.96,UPI/rhc33t5i0nbv@paytm/P2M/haqhqo6d@oksbi/Edara
30/05/2023,,2093.87,CR,3705.83,UPI/bp5xgail80kq@ybl
30/05/2023,,417.73,DR,3288.1,UPI/sv2ojg7er1jp@axl/P2M/djqf6xdm@paytm/Edara
30/05/2023,,533.21,DR,2754.89,UPI/qzx76klzxyke@ybl/P2M/iga30y9p@ptbyl/Airtel
30/05/2023,,726.04,DR,2028.85,UPI/x79kyfzyvqq6@paytm/P2M/ajcl2rm0@oksbi/Paytm
30/05/2023,,963.46,DR,1065.39,UPI/eduqc788gx9b@okaxis/P2M/0g4e764k@oksbi/BigBazaar
30/05/2023,,1746.81,CR,2812.2,UPI/t2fbqui3ugye@okhdfc
29/05/2023,,762.69,DR,2049.51,UPI/4fh7xq0riw6z@oksbi/P2M/jup61ah4@paytm/Flipkart
29/05/2023,918152,165.47,DR,1884.04,UPI/dklyh05c6wck@axl/P2M/m1702p4v@paytm/Airtel
29/05/2023,835739,1776.82,CR,3660.86,UPI/ap1ydhdmaw59@paytm
29/05/2023,,698.24,DR,2962.62,UPI/n7kqvhwhu8bl@oksbi/P2M/8wi8sq51@paytm/AxisBank
29/05/2023,725534,1189.66,DR,1772.96,UPI/oxmsc2tidd8c@oksbi/P2M/fvvel4em@oksbi/Paytm
29/05/2023,,411.63,DR,1361.33,UPI/l91d8kl5ntf8@ybl/P2M/jacwiyrp@ptbyl/Chala
29/05/2023,,3657.69,CR,5019.02,UPI/80zc3hm99dxg@axl
29/05/2023,781105,1297.89,DR,3721.13,UPI/175e45jr8f06@axl/P2M/ffp8strg@ptbsi/Airtel
29/05/2023,471039,1254.57,DR,2466.56,UPI/fohvgzysq9nu@axl/P2M/hq61vfmo@oksbi/Edara
29/05/2023,,427.75,DR,2038.81,UPI/d5m8xm8bg4y8@paytm/P2M/6w6yt8h3@oksbi/AxisBank
29/05/2023,,952.84,DR,1085.97,UPI/txxwl04cthea@okhdfc/P2M/782eqqyd@ptbyl/Edara
29/05/2023,,193.87,DR,892.1,UPI/ymocnx2m1tmy@axl/P2M/4bz16cbm@paytm/VENNA
28/05/2023,366908,3375.81,CR,4267.91,UPI/6wq01vc4t0j9@okhdfc
28/05/2023,183627,835.42,DR,3432.49,UPI/gc9qksoal6iz@okhdfc/P2M/7cr3bgrk@oksbi/Chala
28/05/2023,,212.09,DR,3220.4,UPI/74fjiu4hbsmo@paytm/P2M/xzbjgntt@paytm/VENNA
28/05/2023,,900.76,DR,2319.64,UPI/26lrtctkk36r@paytm/P2M/fyzrr0hq@oksbi/Paytm
28/05/2023,526354,1306.99,DR,1012.65,UPI/7wih2pl48roz@axl/P2M/vt5w4yyr@ptbsi/Edara
28/05/2023,555480,651.3,DR,361.35,UPI/v3yxmfhmy853@ybl/P2M/qy661d9v@ptbsi/Paytm
28/05/2023,,32.91,DR,328.44,UPI/h219wd9u7a5z@okhdfc/P2M/bstemqys@oksbi/VENNA
27/05/2023,432024,298.75,DR,29.69,UPI/9eujsjr7gz0j@oksbi/P2M/fs43rvvj@ptbsi/Edara
27/05/2023,,4156.66,CR,4186.35,UPI/zxj9zt3iqcot@oksbi
27/05/2023,,164.42,DR,4021.93,UPI/fiol4np460rc@okaxis/P2M/hdmy9oss@oksbi/Edara
27/05/2023,686761,908.98,DR,3112.95,UPI/yy1e94znenlb@ybl/P2M/luhpdtgr@oksbi/Flipkart
27/05/2023,,572.89,DR,2540.06,UPI/suacbna1mi6g@paytm/P2M/jt2dijv1@ptbyl/Chala
27/05/2023,872890,1393.58,DR,1146.48,UPI/z9vayczw86xd@paytm/P2M/816n11pr@paytm/Paytm
27/05/2023,,369.78,DR,776.7,UPI/x91fkavgeis5@oksbi/P2M/lxr18yl3@oksbi/Flipkart
27/05/2023,,764.14,DR,12.56,UPI/lznuoy1ybzrt@okhdfc/P2M/xsnqwep1@paytm/Edara
27/05/2023,366850,2068.1,CR,2080.66,UPI/r42wb7ziaadt@okaxis
27/05/2023,,956.0,DR,1124.66,UPI/9167kjh0hp1x@paytm/P2M/x59ct35y@ptbsi/Amazon
27/05/2023,776902,4032.48,CR,5157.14,UPI/tggo26vb1c7a@okhdfc
26/05/2023,,3842.89,CR,9000.03,UPI/c7buvm79m06j@okaxis
26/05/2023,888948,906.05,DR,8093.98,UPI/unj6ust3rifn@paytm/P2M/8pxtsy29@oksbi/VENNA
26/05/2023,,782.58,DR,7311.4,UPI/6onm9f4a72ei@paytm/P2M/rkuc73pb@ptbyl/VENNA
26/05/2023,,160.64,DR,7150.76,UPI/x40ayvkkzaky@oksbi/P2M/ptwdp5ci@ptbyl/BigBazaar
26/05/2023,,816.09,DR,6334.67,UPI/akis83n8oxqt@okaxis/P2M/m1vxyjh1@paytm/Airtel
26/05/2023,,1499.69,DR,4834.98,UPI/3c0xu6pafcyr@paytm/P2M/cyr9o1qx@oksbi/Paytm
26/05/2023,371124,789.86,DR,4045.12,UPI/z7z9z4pxpg0q@paytm/P2M/jd8oryxh@ptbsi/AxisBank
26/05/2023,182376,2052.47,CR,6097.59,UPI/jd71990i0tyo@okhdfc
26/05/2023,,209.21,DR,5888.38,UPI/11ovpht057qi@okhdfc/P2M/2jc0u1ge@paytm/AxisBank
26/05/2023,332673,365.11,DR,5523.27,UPI/kdy0n9laydsg@okhdfc/P2M/zb9c7a5g@ptbsi/Amazon
26/05/2023,348813,1412.58,DR,4110.69,UPI/9cm42wtr4xgj@okhdfc/P2M/3xomziu3@ptbsi/Flipkart
26/05/2023,672281,194.02,DR,3916.67,UPI/zhlrtxky12tv@oksbi/P2M/82m7fu3s@oksbi/Edara
25/05/2023,,745.54,DR,3171.13,UPI/eltxk6nta5bu@okaxis/P2M/yyqx30ti@ptbyl/Airtel
25/05/2023,,260.8,DR,2910.33,UPI/j18woij4x9c6@okaxis/P2M/q7hz64re@ptbsi/Edara
25/05/2023,912611,799.09,DR,2111.24,UPI/nkkfqogbl3iq@okaxis/P2M/u0ggr1ld@ptbsi/VENNA
25/05/2023,,822.53,DR,1288.71,UPI/m6llcimxmqrj@oksbi/P2M/5vf9pk39@ptbyl/Paytm
25/05/2023,,138.62,DR,1150.09,UPI/4u1ifmrnpq1r@ybl/P2M/z0kzg9pw@ptbsi/Airtel
25/05/2023,,631.49,DR,518.6,UPI/e59wfmj7szbn@ybl/P2M/kmu9wm98@ptbyl/AxisBank
25/05/2023,,230.59,DR,288.01,UPI/lzwb4skju43q@okaxis/P2M/rf7shu0f@paytm/VENNA
25/05/2023,,71.0,DR,217.01,UPI/n8qocqsz5hvx@okaxis/P2M/87f2r0ks@paytm/Paytm
25/05/2023,,127.17,DR,89.84,UPI/gf5n0uqn78vq@paytm/P2M/zsw5f8np@ptbsi/Amazon
24/05/2023,,15.03,DR,74.81,UPI/mhte2ipgp3fj@okaxis/P2M/n1a8bwdm@ptbsi/Amazon
24/05/2023,157508,312.36,CR,387.17,UPI/7a801svu0apo@okaxis
23/05/2023,361269,245.45,DR,141.72,UPI/xh3cu6593ugl@paytm/P2M/0y2m8qz7@ptbyl/Paytm
23/05/2023,,67.08,DR,74.64,UPI/vrdxc7yxe061@okaxis/P2M/8c6nkuem@paytm/Flipkart
23/05/2023,801936,1494.46,CR,1569.1,UPI/g0z0jq9jmygk@paytm
22/05/2023,151776,1474.72,DR,94.38,UPI/32ip0b7gkv6i@okaxis/P2M/57o7d0qu@oksbi/Paytm
