Date,Instrument ID,Amount,Type,Balance,Remarks
31/01/2022,,416.9,DR,642.87,UPI/x5ai7nexvuy1@paytm/P2M/pg0nniv2@ptbyl/Flipkart
31/01/2022,951854,602.54,DR,40.33,UPI/rj2ciindd6q0@oksbi/P2M/id4c0tfi@paytm/AxisBank
31/01/2022,,2665.2,CR,2705.53,UPI/ti65wl7cgd68@ybl
31/01/2022,905523,1393.2,DR,1312.33,UPI/n128dz9t9065@paytm/P2M/71i7cymh@oksbi/Airtel
31/01/2022,,4877.5,CR,6189.83,UPI/ja8yrpshfdrn@oksbi
31/01/2022,922670,546.17,DR,5643.66,UPI/u4bgzwv85jks@paytm/P2M/rdxnbzbk@ptbyl/VENNA
31/01/2022,978571,41.8,DR,5601.86,UPI/aukwgtesbmhl@axl/P2M/9uhnug3d@ptbyl/Amazon
31/01/2022,,435.27,DR,5166.59,UPI/odonx8gvefes@paytm/P2M/hmlq62of@ptbsi/Airtel
31/01/2022,,1753.33,CR,6919.92,UPI/2r6n7etzih27@paytm
30/01/2022,,686.92,DR,6233.0,UPI/orre4bsd1sd1@oksbi/P2M/hfnzndbx@paytm/Chala
30/01/2022,,4589.26,CR,10822.26,UPI/2xox1n0zxwc4@oksbi
30/01/2022,,840.05,DR,9982.21,UPI/z9t5sadwadad@axl/P2M/pmy9iugc@ptbyl/Paytm
30/01/2022,,169.79,DR,9812.42,UPI/lrtqpn463uib@okaxis/P2M/b6k45tne@paytm/Edara
30/01/2022,,299.9,DR,9512.52,UPI/ss1tc4xn48fk@ybl/P2M/x2d6sbik@paytm/Flipkart
30/01/2022,,658.6,DR,8853.92,UPI/34xk1aj3m2jw@okhdfc/P2M/r8gx3rh9@ptbyl/VENNA
30/01/2022,216663,981.05,DR,7872.87,UPI/2o68pi7hz3t6@paytm/P2M/vbxyj41p@ptbsi/Airtel
30/01/2022,,1053.7,DR,6819.17,UPI/3b22kemzljn7@axl/P2M/4z9170ph@ptbyl/Chala
30/01/2022,,1145.68,DR,5673.49,UPI/doblbti7wyoc@ybl/P2M/r1loi5u8@ptbyl/Chala
30/01/2022,,1307.55,DR,4365.94,UPI/q3wec59o2h86@okaxis/P2M/8ldgdqb7@ptbyl/BigBazaar
30/01/2022,,130.96,DR,4234.98,UPI/pzp2lyu3e1ch@okhdfc/P2M/eykzotyl@ptbyl/BigBazaar
30/01/2022,,3683.12,CR,7918.1,UPI/pit5v0u2zkax@paytm
30/01/2022,,226.85,DR,7691.25,UPI/tdtb1l3o57pi@oksbi/P2M/nph8019g@ptbyl/BigBazaar
30/01/2022,,682.18,DR,7009.07,UPI/gah1phwydt05@paytm/P2M/662didmx@ptbyl/AxisBank
30/01/2022,,1276.89,DR,5732.18,UPI/8x9jk1pme967@ybl/P2M/0l3hapee@ptbsi/VENNA
29/01/2022,,60.52,DR,5671.66,UPI/sx2nxju1urai@paytm/P2M/zvzgimhd@ptbsi/BigBazaar
29/01/2022,621728,1437.86,DR,4233.8,UPI/vhqdk8kh7m9y@ybl/P2M/zg5lq983@oksbi/Flipkart
29/01/2022,286120,225.22,DR,4008.58,UPI/eb0u14qj2rq7@okhdfc/P2M/7g63g9m0@ptbsi/Paytm
29/01/2022,,1257.05,DR,2751.53,UPI/r1f5629jd6u8@okaxis/P2M/wmsenva3@ptbyl/VENNA
29/01/2022,,451.54,CR,3203.07,UPI/y2798dp8m9ab@okhdfc
29/01/2022,,490.53,DR,2712.54,UPI/jhhdvpheh9jb@oksbi/P2M/k5r0u8sa@ptbyl/Flipkart
29/01/2022,306195,47.92,DR,2664.62,UPI/mse6x6tewat7@oksbi/P2M/548htq6v@paytm/AxisBank
29/01/2022,,293.36,DR,2371.26,UPI/wn7tsiqxj06t@ybl/P2M/q85il190@ptbsi/VENNA
29/01/2022,,401.77,DR,1969.49,UPI/yxmzl0lib5td@paytm/P2M/5ksplw8j@paytm/Paytm
29/01/2022,,1174.72,DR,794.77,UPI/6wittra4x4ml@ybl/P2M/39jedhqo@ptbyl/Paytm
29/01/2022,163746,184.02,DR,610.75,UPI/f6hu0wqf26zs@okaxis/P2M/6tvvp4dx@paytm/Amazon
28/01/2022,,1267.21,CR,1877.96,UPI/uui4z41whglp@paytm
28/01/2022,,344.57,DR,1533.39,UPI/apshsat472br@paytm/P2M/cnegdwxx@ptbsi/Edara
28/01/2022,166437,1342.28,DR,191.11,UPI/ra41g7f4gnxp@okaxis/P2M/p5steymi@ptbsi/Flipkart
28/01/2022,,30.36,DR,160.75,UPI/tz7x7h27arwz@ybl/P2M/e8mq0dih@ptbyl/Paytm
28/01/2022,,17.69,DR,143.06,UPI/hnk61w30uqz4@oksbi/P2M/hkl5i557@paytm/AxisBank
27/01/2022,,4603.3,CR,4746.36,UPI/juora1kas3eh@okhdfc
27/01/2022,342053,399.32,DR,4347.04,UPI/r5pxu2nvju8g@okaxis/P2M/7gy8bhsa@ptbsi/Airtel
