Date,Instrument ID,Amount,Type,Balance,Remarks
30/11/2021,,716.26,DR,134.64,UPI/svezzhuamwq3@okhdfc/P2M/gck6llfi@ptbyl/Airtel
30/11/2021,,57.9,DR,76.74,UPI/75xqh0jdr386@okhdfc/P2M/p4m40825@oksbi/Flipkart
30/11/2021,,2842.89,CR,2919.63,UPI/696gu6melgbg@okhdfc
30/11/2021,,193.61,DR,2726.02,UPI/uz0915jnxi89@okaxis/P2M/bi68udoi@ptbsi/Amazon
30/11/2021,166638,2379.81,CR,5105.83,UPI/k9njzgo1q4kl@axl
30/11/2021,,1094.9,DR,4010.93,UPI/bd9kebo16jsr@paytm/P2M/kopje4t0@oksbi/Paytm
30/11/2021,,907.79,DR,3103.14,UPI/igkqlyifxj91@oksbi/P2M/redbwiqg@ptbyl/Airtel
30/11/2021,,668.81,DR,2434.33,UPI/dorudt3yjmp8@okaxis/P2M/0h5z1cge@paytm/Airtel
30/11/2021,626524,25.09,DR,2409.24,UPI/lnruhxkp43t8@axl/P2M/sfp5o8ns@oksbi/Amazon
30/11/2021,,4907.27,CR,7316.51,UPI/obnxdazxlsl3@ybl
29/11/2021,548888,4926.5,CR,12243.01,UPI/wrogtlixtg85@ybl
29/11/2021,,2147.11,CR,14390.12,UPI/3nyi641ivt7w@ybl
29/11/2021,748049,791.65,DR,13598.47,UPI/58vj2kbcwpgs@ybl/P2M/o7i5m769@oksbi/Flipkart
29/11/2021,,390.6,DR,13207.87,UPI/5ojael0a7xr6@ybl/P2M/ausx9umm@ptbsi/Chala
29/11/2021,441829,716.22,DR,12491.65,UPI/i0ui6pckklge@axl/P2M/qj10dxbl@paytm/Chala
29/11/2021,,834.71,DR,11656.94,UPI/r4ew6szvioly@paytm/P2M/1gu18xkz@paytm/BigBazaar
29/11/2021,,495.7,DR,11161.24,UPI/6w5prywhn5p6@okhdfc/P2M/mfa3da1d@ptbyl/Chala
29/11/2021,,549.36,DR,10611.88,UPI/0gmi73dqfsr4@axl/P2M/abgy46sz@oksbi/Chala
29/11/2021,270998,567.23,DR,10044.65,UPI/7ylli8furbir@oksbi/P2M/vqm9yg7x@oksbi/BigBazaar
29/11/2021,789070,812.63,DR,9232.02,UPI/0jf6bxxsp7v0@oksbi/P2M/p7acblde@ptbyl/Paytm
29/11/2021,,18.05,DR,9213.97,UPI/483tj180cbyt@okhdfc/P2M/vh3llqvg@ptbsi/Flipkart
29/11/2021,263841,374.92,DR,8839.05,UPI/kclomofg2npr@oksbi/P2M/aq05br2a@ptbsi/BigBazaar
29/11/2021,,645.59,DR,8193.46,UPI/wycu47jiwlw4@ybl/P2M/l47kxrav@paytm/Airtel
28/11/2021,882596,765.46,DR,7428.0,UPI/xu45prkeeuhk@paytm/P2M/3ye9mrcr@ptbsi/Paytm
28/11/2021,975736,95.61,DR,7332.39,UPI/i6dqsvvaxopk@paytm/P2M/irvsh4z0@oksbi/Flipkart
28/11/2021,,1270.5,DR,6061.89,UPI/thacpypodpbi@oksbi/P2M/femxqqcq@ptbyl/Flipkart
28/11/2021,,595.58,DR,5466.31,UPI/nsvszhw27rww@oksbi/P2M/mf2ixrvf@ptbsi/Chala
28/11/2021,,878.01,DR,4588.3,UPI/3luasn28x0bm@okaxis/P2M/5d7slhrh@ptbsi/Airtel
28/11/2021,341626,1293.31,CR,5881.61,UPI/gwsbcij6f8vl@oksbi
28/11/2021,987558,715.44,CR,6597.05,UPI/3tfxgs7ix6vi@ybl
28/11/2021,510977,152.32,DR,6444.73,UPI/bj9ey4os6irg@okhdfc/P2M/eqppw2s5@ptbsi/VENNA
28/11/2021,,176.84,DR,6267.89,UPI/f92ouxv32fgc@okhdfc/P2M/up6adcix@paytm/Flipkart
28/11/2021,961811,1109.94,DR,5157.95,UPI/htoi94zvs4k4@axl/P2M/37srh2gj@paytm/Paytm
28/11/2021,,1561.19,CR,6719.14,UPI/a0y24qgfr8u1@paytm
28/11/2021,448259,460.79,DR,6258.35,UPI/zvxig6rnrzjo@paytm/P2M/aerov4ql@paytm/AxisBank
28/11/2021,,1333.85,DR,4924.5,UPI/bwhw6g3avvvp@oksbi/P2M/k5o5120o@ptbyl/Amazon
