Date,Instrument ID,Amount,Type,Balance,Remarks
30/09/2021,,4735.85,CR,5549.74,UPI/xftyaiuw6kpl@paytm
30/09/2021,,1049.97,DR,4499.77,UPI/1imsfzcyysnl@okaxis/P2M/enh72f46@ptbsi/Airtel
30/09/2021,,1468.57,DR,3031.2,UPI/jfky4ronz3kd@okaxis/P2M/g4rmzfcu@ptbsi/VENNA
30/09/2021,,326.23,CR,3357.43,UPI/jtq4he7q93mr@axl
30/09/2021,,378.52,CR,3735.95,UPI/m8ung56l7md1@ybl
30/09/2021,,958.63,CR,4694.58,UPI/olrhwhxk1m49@okhdfc
30/09/2021,,329.72,CR,5024.3,UPI/qt567mktayme@ybl
30/09/2021,542514,466.9,DR,4557.4,UPI/3l15ud67lht2@oksbi/P2M/kudpmiq8@ptbsi/Airtel
30/09/2021,,525.96,DR,4031.44,UPI/orqx6ynu4xkm@oksbi/P2M/ljggx8kp@oksbi/Paytm
30/09/2021,,2097.25,CR,6128.69,UPI/qbuotxu50izz@ybl
30/09/2021,,1063.2,DR,5065.49,UPI/f4xv7ur889wb@oksbi/P2M/cllkuk2u@ptbsi/VENNA
30/09/2021,653101,328.36,DR,4737.13,UPI/uy0z76o5obdr@ybl/P2M/ikhrk1f9@ptbsi/Flipkart
30/09/2021,,1485.75,DR,3251.38,UPI/opnjs27cmj7l@axl/P2M/i8tfb80k@ptbsi/Airtel
29/09/2021,461809,1259.31,DR,1992.07,UPI/sgpe6uoo05ut@axl/P2M/y77iy9ba@ptbyl/BigBazaar
29/09/2021,,306.96,DR,1685.11,UPI/wwu54tk0grve@okaxis/P2M/re9982fk@ptbsi/Chala
29/09/2021,,1104.2,DR,580.91,UPI/jpwwmzszpr7n@paytm/P2M/9jqp9o18@ptbyl/Airtel
29/09/2021,,274.77,CR,855.68,UPI/map6rj5s9yrk@ybl
29/09/2021,,183.87,DR,671.81,UPI/p57ej6erl6dj@okaxis/P2M/tus492e8@paytm/Chala
29/09/2021,597823,115.18,DR,556.63,UPI/vergy5ypkubx@ybl/P2M/drsnu6jd@oksbi/Paytm
29/09/2021,,931.21,CR,1487.84,UPI/uhj5yy7lsgqz@oksbi
28/09/2021,368984,3867.95,CR,5355.79,UPI/rp09fmpu90tm@paytm
28/09/2021,,4015.77,CR,9371.56,UPI/kvap0mqgy2fi@paytm
28/09/2021,673608,1019.89,DR,8351.67,UPI/istcgxig67ko@okhdfc/P2M/8ee9knht@ptbsi/Flipkart
28/09/2021,368026,859.76,DR,7491.91,UPI/dxborx8hdhqu@ybl/P2M/m4aj3cvo@ptbsi/Paytm
28/09/2021,,798.74,DR,6693.17,UPI/ckuwcxxssnn5@ybl/P2M/ooxxb4nn@oksbi/Chala
28/09/2021,,3413.38,CR,10106.55,UPI/a9uxy1k3mv3g@oksbi
28/09/2021,,375.77,DR,9730.78,UPI/za70l4zcqc5c@ybl/P2M/w0e9xx9e@oksbi/BigBazaar
28/09/2021,,2514.5,CR,12245.28,UPI/5p17svvtzskt@okaxis
28/09/2021,,180.26,DR,12065.02,UPI/nfngybcgl5wm@okaxis/P2M/zhp90dpu@ptbsi/Chala
28/09/2021,337546,702.56,DR,11362.46,UPI/8sp7trol4bsk@axl/P2M/3by81o0q@oksbi/Airtel
28/09/2021,460039,1374.39,DR,9988.07,UPI/kdwv2iffv94t@okhdfc/P2M/8zi83hds@ptbsi/Paytm
28/09/2021,,54.63,DR,9933.44,UPI/57zzvk45pjuc@paytm/P2M/7qxmariq@ptbsi/Amazon
28/09/2021,,1252.96,CR,11186.4,UPI/yra5ndvi8iy5@oksbi
27/09/2021,,1087.71,DR,10098.69,UPI/654t20c22txq@okhdfc/P2M/qeeg73pd@oksbi/VENNA
27/09/2021,919150,942.66,DR,9156.03,UPI/pw61h33wz43d@axl/P2M/sdmssrxs@ptbsi/Paytm
27/09/2021,,3442.32,CR,12598.35,UPI/g21y5dfpxxsq@oksbi
27/09/2021,,416.49,DR,12181.86,UPI/0cq1mq490ia2@okaxis/P2M/wu8vqi3z@ptbsi/VENNA
27/09/2021,222456,1077.34,DR,11104.52,UPI/ny2unoj1gudd@ybl/P2M/6gf2o4v0@oksbi/Edara
27/09/2021,,772.47,DR,10332.05,UPI/3x4pw34c8fh6@ybl/P2M/9qjwhv09@oksbi/BigBazaar
27/09/2021,142912,611.2,DR,9720.85,UPI/ai4mljutr4hj@okhdfc/P2M/xccj0m98@oksbi/VENNA
27/09/2021,,813.95,DR,8906.9,UPI/kk1cwsvwt78y@okhdfc/P2M/s5xngph6@ptbyl/Edara
27/09/2021,,1282.11,DR,7624.79,UPI/hlhsxkkwqvzs@okaxis/P2M/ddpt5ta7@ptbyl/Flipkart
27/09/2021,,588.82,DR,7035.97,UPI/weozy9xyyv4w@paytm/P2M/8extwty1@ptbsi/AxisBank
27/09/2021,601078,738.38,DR,6297.59,UPI/sg5l0ve71n0y@okaxis/P2M/43hi824h@ptbyl/Airtel
27/09/2021,354339,3823.15,CR,10120.74,UPI/hvcjlk885ygg@paytm
27/09/2021,236720,925.7,DR,9195.04,UPI/wmgj9wpllql0@paytm/P2M/mx62qym5@paytm/VENNA
26/09/2021,,535.23,DR,8659.81,UPI/6vqv0xjn5fl2@okhdfc/P2M/059qunrk@ptbyl/BigBazaar
26/09/2021,322302,588.98,DR,8070.83,UPI/y1usx47j389l@paytm/P2M/ql1fw1th@ptbsi/BigBazaar
26/09/2021,535592,983.78,DR,7087.05,UPI/8q5gd7t54p6p@paytm/P2M/3lgp0wro@ptbsi/AxisBank
26/09/2021,649266,1251.28,DR,5835.77,UPI/qciemke9axyy@axl/P2M/052mn5gv@ptbsi/Edara
26/09/2021,,600.08,DR,5235.69,UPI/k3919sdoikq0@okhdfc/P2M/usqni7ce@oksbi/BigBazaar
26/09/2021,,407.28,DR,4828.41,UPI/8pgkrx5550ll@ybl/P2M/zdyk43bj@oksbi/Flipkart
26/09/2021,,462.13,DR,4366.28,UPI/293v9qi8x1yj@okaxis/P2M/0mcdak6h@ptbsi/VENNA
26/09/2021,341928,787.57,CR,5153.85,UPI/c9beqv7n2xqb@ybl
