Date,Instrument ID,Amount,Type,Balance,Remarks
31/07/2021,,433.56,DR,510.68,UPI/nks7trtswica@oksbi/P2M/3v0gkiwd@oksbi/Paytm
31/07/2021,519218,480.28,DR,30.4,UPI/2n5hk5zm3snn@ybl/P2M/h9fcy0yj@oksbi/Paytm
31/07/2021,,4400.25,CR,4430.65,UPI/mgihbstsbcf9@paytm
31/07/2021,,3616.8,CR,8047.45,UPI/zn0e34hd8t32@okaxis
30/07/2021,916637,361.17,DR,7686.28,UPI/f61cl24ptc89@ybl/P2M/twat36qr@oksbi/Edara
30/07/2021,291436,1095.92,DR,6590.36,UPI/vstkuw89179t@ybl/P2M/fm782k6m@paytm/Edara
30/07/2021,,341.42,DR,6248.94,UPI/d7dz9afdb7jg@oksbi/P2M/838w5lo0@oksbi/Edara
30/07/2021,576331,1150.34,DR,5098.6,UPI/ykds5rtwld7v@paytm/P2M/g61zujl5@ptbsi/Amazon
30/07/2021,,33.41,DR,5065.19,UPI/2cz86a4gkgh0@paytm/P2M/htsaxpux@ptbsi/Paytm
30/07/2021,310216,4764.82,CR,9830.01,UPI/10ze11ruz3kz@okaxis
30/07/2021,793122,504.02,CR,10334.03,UPI/ttcpfnzfou6q@axl
30/07/2021,968301,547.94,DR,9786.09,UPI/o65pfen252fj@axl/P2M/cm59w4un@oksbi/Edara
30/07/2021,,469.77,DR,9316.32,UPI/nk1y36mrfvoc@axl/P2M/v6ibvdg6@ptbyl/AxisBank
30/07/2021,,382.14,DR,8934.18,UPI/1cnrdyhawqel@axl/P2M/uig343ma@paytm/Flipkart
30/07/2021,,911.05,DR,8023.13,UPI/ncajhcf1owic@okhdfc/P2M/erl01wkw@ptbsi/Chala
30/07/2021,,19.29,DR,8003.84,UPI/0rmtyqspogso@oksbi/P2M/14ngt4pc@paytm/AxisBank
29/07/2021,,2080.35,CR,10084.19,UPI/fld8qjw5yjbl@okhdfc
29/07/2021,425498,221.94,DR,9862.25,UPI/u3njgwg8q4i9@oksbi/P2M/0hzf6do9@paytm/Airtel
29/07/2021,616148,1266.35,DR,8595.9,UPI/ykjlrmymofwl@axl/P2M/hk63p657@paytm/Edara
29/07/2021,,3116.77,CR,11712.67,UPI/xogfgxpj5vt6@okhdfc
29/07/2021,469882,256.6,DR,11456.07,UPI/gu85z6lq9rmv@paytm/P2M/rd55ge03@ptbyl/BigBazaar
