Date,Instrument ID,Amount,Type,Balance,Remarks
31/03/2021,,654.39,DR,169.46,UPI/cjvru2h278dy@okhdfc/P2M/h087lxpz@oksbi/Amazon
31/03/2021,,248.09,CR,417.55,UPI/ia3cer4asjz9@axl
30/03/2021,,24.8,DR,392.75,UPI/g8x1qgtbq9r9@okaxis/P2M/goy5zjay@paytm/Airtel
30/03/2021,,146.48,DR,246.27,UPI/98p7n18oft2b@okaxis/P2M/y8k7gf25@ptbyl/Airtel
30/03/2021,316349,2681.59,CR,2927.86,UPI/flh0d9lxkami@ybl
30/03/2021,,956.49,DR,1971.37,UPI/sl90v5zvgz6m@ybl/P2M/v0kuxtud@oksbi/BigBazaar
30/03/2021,,525.48,DR,1445.89,UPI/wwmxkm3xydqy@okaxis/P2M/ig4a36z0@paytm/AxisBank
30/03/2021,,588.55,DR,857.34,UPI/s3zp74iteelo@okaxis/P2M/08b835rj@oksbi/Paytm
30/03/2021,,596.33,DR,261.01,UPI/y4rq21t12dzm@ybl/P2M/jt9oe1cb@paytm/Edara
29/03/2021,,168.71,DR,92.3,UPI/fk2g985osc8p@paytm/P2M/2mcijxt0@oksbi/Amazon
29/03/2021,777521,4741.5,CR,4833.8,UPI/vropqtkb23j7@ybl
29/03/2021,,1288.91,DR,3544.89,UPI/07vp7oto81tv@okaxis/P2M/hciqfck9@oksbi/AxisBank
29/03/2021,,44.35,DR,3500.54,UPI/42cd50652p98@ybl/P2M/fmdhbhis@ptbsi/AxisBank
29/03/2021,,336.62,DR,3163.92,UPI/6entxd0g0u61@oksbi/P2M/ucnqbk7k@ptbsi/Paytm
29/03/2021,613100,102.8,DR,3061.12,UPI/m66qpg7jctsn@axl/P2M/cigvhq0v@oksbi/Amazon
29/03/2021,,1292.75,DR,1768.37,UPI/g2g99wxftax1@okhdfc/P2M/5qxvbe6z@ptbyl/Paytm
29/03/2021,,1382.44,DR,385.93,UPI/rvsj0k841b2j@ybl/P2M/xykbgy53@ptbsi/VENNA
29/03/2021,,360.2,DR,25.73,UPI/hmk7cutjxhr7@ybl/P2M/pdejbwre@oksbi/Edara
27/03/2021,,417.94,CR,443.67,UPI/97ydn3dydu03@okhdfc
