Date,Instrument ID,Amount,Type,Balance,Remarks
31/12/2020,952867,77.4,DR,936.41,UPI/lsxyxpejyeyl@ybl/P2M/xwydo0dx@oksbi/Amazon
31/12/2020,,1664.94,CR,2601.35,UPI/du77g44udh27@okhdfc
31/12/2020,372220,976.22,DR,1625.13,UPI/xsmd6cm2q3c7@axl/P2M/ipclmt9c@paytm/Flipkart
31/12/2020,,848.75,DR,776.38,UPI/zspw3zw5vrbe@oksbi/P2M/dj6d5hly@oksbi/Amazon
31/12/2020,,1596.05,CR,2372.43,UPI/jk0hg0ypwdq0@oksbi
31/12/2020,,3276.08,CR,5648.51,UPI/yqcqzb03shxa@ybl
31/12/2020,,1146.84,DR,4501.67,UPI/hvvr4dri3sm5@okhdfc/P2M/637yjqxw@oksbi/Edara
31/12/2020,563982,256.1,DR,4245.57,UPI/86h4anwspkz2@okaxis/P2M/1ucg57vo@ptbsi/Flipkart
31/12/2020,184510,564.65,DR,3680.92,UPI/kax2hkp1qrck@ybl/P2M/5q2codck@oksbi/VENNA
31/12/2020,,1390.3,DR,2290.62,UPI/i7ea8o2urnd7@ybl/P2M/odn61mmv@ptbsi/Edara
31/12/2020,,332.84,DR,1957.78,UPI/9gx5veza8ynn@ybl/P2M/9m54kjhz@ptbsi/Paytm
31/12/2020,,362.31,DR,1595.47,UPI/k6oyz9bg2tzz@okhdfc/P2M/3tyvfm7b@paytm/AxisBank
31/12/2020,,999.36,DR,596.11,UPI/a46ymmznc1sf@okhdfc/P2M/mycvyuvl@oksbi/BigBazaar
30/12/2020,,1597.89,CR,2194.0,UPI/t6iohaah8yx9@axl
30/12/2020,,293.36,DR,1900.64,UPI/580feljzve39@axl/P2M/dh78u97i@ptbyl/BigBazaar
30/12/2020,603590,805.01,DR,1095.63,UPI/zmkytnw4rids@ybl/P2M/m31h2go3@paytm/AxisBank
30/12/2020,,304.89,DR,790.74,UPI/v38niuo4tft0@axl/P2M/kldnpdyr@ptbyl/Airtel
30/12/2020,,605.93,DR,184.81,UPI/cx7kr6ywybso@okhdfc/P2M/hem6zye6@oksbi/AxisBank
29/12/2020,,114.67,DR,70.14,UPI/2uxadgbi6fo3@okhdfc/P2M/3e51r1wx@ptbsi/Edara
29/12/2020,,1227.97,CR,1298.11,UPI/i0tx0zb0o0ma@paytm
29/12/2020,386950,1080.59,DR,217.52,UPI/16ohij7vykk1@okhdfc/P2M/b6a3e4t8@ptbsi/Edara
29/12/2020,,4556.44,CR,4773.96,UPI/52gbhchw6nty@oksbi
29/12/2020,896046,637.89,DR,4136.07,UPI/budhzsi3s5d1@ybl/P2M/7ffc9nyj@ptbsi/Flipkart
29/12/2020,150217,4113.18,CR,8249.25,UPI/kszko12orktv@okhdfc
29/12/2020,,132.77,DR,8116.48,UPI/gqvexkpxi6mp@axl/P2M/nyu2b7u5@oksbi/Flipkart
28/12/2020,927722,588.64,DR,7527.84,UPI/cw51qwq1jhic@paytm/P2M/r0e2vmnf@ptbsi/Paytm
28/12/2020,142867,1368.9,DR,6158.94,UPI/ddanwqpogq5c@axl/P2M/zybtj26v@ptbsi/Airtel
28/12/2020,,1097.95,DR,5060.99,UPI/mvogbh79l6p5@axl/P2M/a4vvsyof@ptbsi/Amazon
28/12/2020,,1488.02,DR,3572.97,UPI/dlrwnni07xzw@ybl/P2M/i9f99oez@paytm/Chala
28/12/2020,,1315.98,DR,2256.99,UPI/brwva7xc7xvx@paytm/P2M/hhoudpu2@oksbi/AxisBank
28/12/2020,,946.89,DR,1310.1,UPI/9iftxtkqwpij@paytm/P2M/3tip4hcf@ptbsi/BigBazaar
28/12/2020,,108.35,CR,1418.45,UPI/ep3fayslbfp8@okhdfc
28/12/2020,,855.81,DR,562.64,UPI/bgxyr3vwn2qb@okaxis/P2M/hdjmmhr6@ptbsi/Edara
28/12/2020,,421.58,DR,141.06,UPI/36s5jn46bnwu@okhdfc/P2M/gq8c0a5s@oksbi/Amazon
28/12/2020,,50.09,DR,90.97,UPI/jvkx729na2uc@oksbi/P2M/rn6b4grr@oksbi/Paytm
